"","ID","Station Name","Street Address","Location","geometry"
"68",257930,"SOLDIER FIELD STATION 04","1410 Museum Campus Dr","(41.862187, -87.615146)",c(-87.615146, 41.862187)
"69",154393,"222 N LaSalle Parking Garage","222 N La Salle St","(41.886578, -87.632776)",c(-87.632776, 41.886578)
"70",256685,"PARC HURON RIGHT STATION","469 W Huron St","(41.894538, -87.64123)",c(-87.64123, 41.894538)
"71",202796,"INTERPARK LAKE N WELLS 1","177 N Wells St","(41.885387, -87.63364)",c(-87.63364, 41.885387)
"72",235607,"TPM AVRA STATION 1","1125 W Van Buren Ave","(41.87582, -87.64171)",c(-87.64171, 41.87582)
"73",114158,"Loews Chicago Hotel - Tesla Destination","455 N Park Dr","(41.889755, -87.618659)",c(-87.618659, 41.889755)
"74",104690,"UNITED ORD LOT UNITED 7","5600 Bessie Coleman Dr","(41.981125, -87.88858)",c(-87.88858, 41.981125)
"75",163455,"PEOPLES GAS EV4","4341 W 35th Pl Logistics Support","(41.989297, -87.73032)",c(-87.73032, 41.989297)
"76",180626,"PEOPLES GAS EV3","4341 W 35th Pl Logistics Support","(41.989377, -87.73017)",c(-87.73017, 41.989377)
"77",256132,"Whole Foods Lakeview","3201 N Ashland Ave","(41.939834, -87.66812)",c(-87.66812, 41.939834)
"78",123556,"SP PLUS CORP MCCORMICK 2","2301 S Prairie Ave","(41.851167, -87.620557)",c(-87.620557, 41.851167)
"79",207785,"THOR816WFULTON STATION 1","800 W Fulton Market","(41.88694, -87.64766)",c(-87.64766, 41.88694)
"80",180605,"BUCK MANAGEMENT LEVEL 2 249","845 W Madison St","(41.880822, -87.649123)",c(-87.649123, 41.880822)
"81",76523,"PRUDENTIALPLAZA STATION 01","130 E Randolph St","(41.88536, -87.623191)",c(-87.623191, 41.88536)
"82",190810,"Target - Tesla Supercharger","2656 North Elston Avenue","(41.92780291, -87.68588061)",c(-87.68588061, 41.92780291)
"83",171696,"900 SELF PARK 8TH FLOOR","911 North Rush Street","(41.899844, -87.626701)",c(-87.626701, 41.899844)
"84",212708,"320 S CANAL EV2","320 S Canal St","(41.87712, -87.64055)",c(-87.64055, 41.87712)
"85",256683,"PARC HURON LEFT STATION","469 W Huron St","(41.894565, -87.641248)",c(-87.641248, 41.894565)
"86",173549,"UNITED ORD LOT UNITED 1","5600 Bessie Coleman Dr","(41.98117, -87.888711)",c(-87.888711, 41.98117)
"87",186148,"NORTH + VINE STATION 1","633 W. North Ave","(41.910583, -87.64479)",c(-87.64479, 41.910583)
"88",80236,"ONE SOUTH WACKE OSW STATION #1","1 S Wacker Dr","(41.881597, -87.636514)",c(-87.636514, 41.881597)
"89",224650,"INTERPARK TOWER WEST","211 W Adams St","(41.879012, -87.634417)",c(-87.634417, 41.879012)
"90",151759,"Whole Foods Market Chicago Edgewater EWR","6009 North Broadway","(41.991563, -87.6597735)",c(-87.6597735, 41.991563)
"91",309582,"UIC Parking Services Lot 9","501 South Morgan Street","(41.8748062, -87.6507875)",c(-87.6507875, 41.8748062)
"92",147816,"LPC","2330 North Clifton Avenue","(41.9245874, -87.657365)",c(-87.657365, 41.9245874)
"93",309133,"530206 : 333 West Wacker Drive","333 West Wacker Drive","(41.886053, -87.6359543)",c(-87.6359543, 41.886053)
"94",102158,"3030 North Broadway - Tesla Supercharger","3030 North Broadway","(41.937552, -87.644709)",c(-87.644709, 41.937552)
"95",235113,"THE COOPER GATEWAY","720 S Wells St","(41.87256, -87.633911)",c(-87.633911, 41.87256)
"96",147821,"430204 : X Chicago Apartments","710 West 14th Street","(41.863604, -87.6453386)",c(-87.6453386, 41.863604)
